number,title,tag1,tag2,tag3,tag4
PD0285/BD/12/14,Bearing Schedule & Misc. Details,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/15,Precast Beams Details External Beams,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/13/01,General Arrangement,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/02,Setting Out,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/03,Abutment & Wingwall Dimensions,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/04,Abutment & Wingwall Reinforcement ,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/05,Misc Details & Bearing Schedule,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/06,Steelwork - Arrangement,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/13/07,Steelwork - Splice & Joint Details,STR,Drawing,Saxondale Bridleway Bridge,
PD0285/BD/14/01,General Arrangement,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/02,"Piling Details, RC & Setting Out - Sheet 1",STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/03,"Piling Details, RC & Setting Out - Sheet 2",STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/04,Abutment - Dimensions,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/05,Abutment - Reinforcement,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/06,Central Reserve Plinth - Dimensions,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/07,Central Reserve Plinth - Reinforcement,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/08,Steelwork Sheet 1,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/09,Steelwork Sheet 2,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/10,Steelwork Sheet 3,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/11,Steelwork Sheet 4,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/12,Steelwork Sheet 5,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/13,Protective Treatment Details,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/14,Deck Dimensions - Sheet 1,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/15,Deck Dimensions - Sheet 2,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/16,Deck Reinforcement - Sheet 1,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/17,Deck Reinforcement - Sheet 2,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/18,Miscellaneous Details - Sheet 1,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/19,Miscellaneous Details - Sheet 2,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/14/20,Bearing Schedule,STR,Drawing,Bingham Railway Overbridge,
PD0285/BD/16/01,General Arrangement,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/02,Setting Out,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/03,Abutment Dimensions,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/04,East Abutment Reinforcement Sheet 1,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/05,East Abutment Reinforcement Sheet 2,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/06,Pier Dimensions,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/07,Pier Reinforcement,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/08,Deck Dimensions,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/09,Deck Reinforcement,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/10,West Abutment Reinforcement Sheet 1,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/11,West Abutment Reinforcement Sheet 2,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/12,Steelwork Sheet 1,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/13,Steelwork Sheet 2,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/14,Steelwork Sheet 3,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/15,Steelwork Sheet 4,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/16,Miscellaneous Details,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/16/17,Bearing Schedule,STR,Drawing,Margidunum Junction Overbridge,
PD0285/BD/19/01,General Arrangement,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/02,Setting Out,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/03,Not Used,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/04,Abutment Dimensions,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/05,Abutment Reinforcement Sheet 1,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/06,Abutment Reinforcement Sheet 2,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/07,Pier Dimensions,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/08,Pier Reinforcement,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/09,Deck Dimensions,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/10,Deck Reinforcement,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/11,Bearing Schedule,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/12,Steelwork Sheet 1,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/13,Steelwork Sheet 2,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/14,Steelwork Sheet 3,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/15,Steelwork Sheet 4,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/19/16,Misc Details,STR,Drawing,Butt Lane Overbridge,
PD0285/BD/20/01,General Arrangement,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/02,Setting Out,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/03,Abutment Dimensions,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/04,Abutment Reinforcement Sheet 1,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/05,Abutment Reinforcement Sheet 2,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/06,Pier Dimensions,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/07,Pier Reinforcement,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/08,Deck Dimensions,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/09,Deck Reinforcement,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/10,Steelwork Sheet 1,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/11,Steelwork Sheet 2,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/12,Steelwork Sheet 3,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/13,Not Used,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/14,Misc. Details,STR,Drawing,Car Colston Overbridge,
PD0285/BD/20/15,Bearing Schedule,STR,Drawing,Car Colston Overbridge,
PD0285/BD/21/01,General Arrangement,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/02,Setting Out,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/03,Abutment & Wingwall Dimensions,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/04,Abutment Reinforcement Sheet 1,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/05,Abutment Reinforcement Sheet 2,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/06,Pier Dimensions & Reinforcement,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/07,Deck Dimensions,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/08,Deck Reinforcement Sheet 1,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/09,Deck Reinforcement Sheet 2,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/10,Steelwork Sheet 1,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/11,Steelwork Sheet 2,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/12,Steelwork Sheet 3,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/14,Bearing Schedule & Misc. Details,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/21/15,Bearing Schedule,STR,Drawing,Red Lodge Junction Overbridge,
PD0285/BD/22/01,General Arrangement Sheet 1 of 2,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/02,General Arrangement Sheet 2 of 2,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/03,Setting Out,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/04,Piling Details & Reinforcement,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/05,West Abutment Dimensions,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/06,West Abutment Reinforcement,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/07,East Abutment Dimensions,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/08,East Abutment Reinforcement,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/09,East Ramp & Stair Dimensions,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/10,East Ramp & Stair Reinforcement,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/11,Steelwork Sheet 1,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/12,Steelwork Sheet 2,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/13,Steelwork Sheet 3,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/14,Parapet Details,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/15,Misc Details,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/22/17,East Ramp Reinforcement W3 & W4,STR,Drawing,Flintham Bridleway Bridge,
PD0285/BD/23/01,General Arrangement,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/02,Setting Out,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/03,Abutment Dimensions,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/04,Abutment Reinforcement Sheet 1,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/05,Abutment Reinforcement Sheet 2,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/06,Pier Dimensions,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/07,Pier Reinforcement,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/08,Deck Dimensions,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/09,Deck Reinforcement Sheet 1,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/10,Deck Reinforcement Sheet 2,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/11,Steelwork Sheet 1,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/12,Steelwork Sheet 2,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/13,Steelwork Sheet 3,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/14,Misc Details,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/23/15,Bearing Schedule,STR,Drawing,Flintham Junction Overbridge,
PD0285/BD/24/01,General Arrangement,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/02,Setting Out,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/03,Abutment & Wingwall Dimensions,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/04,Abutment Reinforcement,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/05,Pier Dimensions,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/06,Pier Reinforcement,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/07,Deck Dimensions,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/08,Deck Reinforcement Sheet 1,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/09,Deck Reinforcement Sheet 2,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/10,Steelwork Sheet 1,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/11,Steelwork Sheet 2,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/12,Steelwork Sheet 3,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/14,Misc. Details,STR,Drawing,Syerston Overbridge,
PD0285/BD/24/15,Bearing Schedule,STR,Drawing,Syerston Overbridge,
PD0285/BD/25/01,General Arrangement,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/02,Setting Out,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/03,Bankseat Dimensions,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/04,Bankseat Reinforcement,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/05,Pier Dimensions,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/06,Pier Reinforcement,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/07,Deck Dimensions,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/08,Deck Reinforcement Sheet 1,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/09,Deck Reinforcement Sheet 2,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/10,Steelwork Sheet 1,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/11,Steelwork Sheet 2,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/12,Steelwork Sheet 3,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/13,Steelwork Sheet 4,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/14,Misc Details,STR,Drawing,Lodge Lane Junction Overbridge,
PD0285/BD/25/15,Bearing Schedule,STR,Drawing,Lodge Lane Junction Overbridge,
